Localidad,Cultivar,Repetición,α Tocopherol,γ Tocopherol,δ Tocopherol,α+γ+δ Tocopherol,Palmitic Acid,Palmitoleic Acid,Stearic Acid,Oleic Acid,Linoleic Acid,Linolenic Acid,Arachidic Acid,Ecosenoic Acid,OSI,Oil content,Código,IV,Fecha de siembra S,inicio de floración IF,Madurez fisiologica MF,Dur S-IF,Dur S-MF,Dur IF-MF,Tmx IF-MF,Tmed IF-MF,T mn IF-MF,pp IF-MF,etp IF- MF
Loc_1,cv_1,1,502.64,826.36,6.18,1335.18,4.26,0.2,2.04,64.49,20.41,7.11,0.44,1.06,11.38,44.97,P1049,115.53,2012-04-30,2012-10-04,2012-11-26,157,211,54,29.9,23.05,17.1,214.0,222.8
Loc_1,cv_1,2,511.2,788.1,7.36,1306.66,4.24,0.2,1.96,64.51,20.48,7.01,0.51,1.09,10.45,44.73,P1050,115.42,2012-04-30,2012-10-04,2012-11-26,157,211,54,29.9,23.05,17.1,214.0,222.8
Loc_1,cv_2,1,317.95,726.27,0.0,1044.22,3.96,0.17,1.89,65.69,18.65,7.92,0.48,1.33,10.29,46.44,P1055,115.82,2012-04-30,2012-09-29,2012-11-25,152,210,58,28.7,21.7,15.0,214.9,232.1
Loc_1,cv_2,2,356.28,796.46,7.22,1159.96,4.45,0.19,2.21,65.64,18.53,7.51,0.41,1.06,11.47,46.57999999999999,P1056,114.23,2012-04-30,2012-09-29,2012-11-25,152,210,58,28.7,21.7,15.0,214.9,232.1
Loc_1,cv_3,1,405.68,745.75,3.79,1155.22,4.17,0.17,1.95,65.82,19.38,7.04,0.31,1.15,12.34,45.05,P1057,114.7,2012-04-30,2012-09-23,2012-11-17,146,202,56,28.7,21.7,15.0,185.3,225.7
Loc_1,cv_3,2,522.5,774.67,5.54,1302.71,4.42,0.23,2.02,64.57,20.59,7.0,0.04,1.14,10.99,44.74,P1058,115.72,2012-04-30,2012-09-23,2012-11-17,146,202,56,28.7,21.7,15.0,185.3,225.7
Loc_1,cv_4,1,209.21,742.84,9.79,961.84,3.99,0.18,1.85,64.42,18.17,9.86,0.44,1.09,7.78,45.38999999999999,P1038,118.93,2012-04-30,2012-09-25,2012-11-22,148,207,59,28.7,21.7,15.0,196.8,242.39999999999998
Loc_1,cv_4,2,409.12,714.45,17.7,1141.27,4.15,0.17,1.97,66.4,19.35,6.92,0.26,0.78,9.63,46.46,P1037,114.54,2012-04-30,2012-09-25,2012-11-22,148,207,59,28.7,21.7,15.0,196.8,242.39999999999998
Loc_1,cv_5,1,226.65,852.57,3.77,1082.99,4.02,0.19,2.15,66.85,17.93,7.58,0.15,1.13,12.570000000000002,47.24,P1029,114.47,2012-04-30,2012-09-26,2012-11-25,149,210,61,28.7,21.7,15.0,214.9,247.9
Loc_1,cv_5,2,221.74,865.98,6.45,1094.17,3.85,0.1,2.13,68.24,17.62,7.72,0.44,0.83,9.87,47.67,P1028,115.22,2012-04-30,2012-09-26,2012-11-25,149,210,61,28.7,21.7,15.0,214.9,247.9
Loc_1,cv_6,1,425.81,739.14,9.12,1174.07,4.09,0.17,2.0,66.2,18.55,7.39,0.51,1.11,10.860000000000001,43.97,P1025,114.47,2012-04-30,2012-09-23,2012-11-16,146,201,53,28.7,21.7,15.0,185.3,219.50000000000003
Loc_1,cv_6,2,392.23,808.54,12.38,1213.15,4.19,0.17,2.0,65.73,19.2,7.13,0.52,1.06,12.19,47.0,P1026,114.47,2012-04-30,2012-09-23,2012-11-16,146,201,53,28.7,21.7,15.0,185.3,219.50000000000003
Loc_1,cv_7,1,281.95,657.9,4.01,943.86,3.95,0.21,2.32,68.04,16.15,7.9,0.5,0.93,11.21,44.76,P1032,113.09,2012-04-30,2012-09-25,2012-11-24,148,209,61,28.7,21.7,15.0,214.9,246.4
Loc_1,cv_7,2,277.24,666.31,5.0,948.55,3.95,0.22,2.5,66.49,18.1,7.56,0.5,0.68,9.45,43.67,P1031,114.07,2012-04-30,2012-09-25,2012-11-24,148,209,61,28.7,21.7,15.0,214.9,246.4
Loc_1,cv_8,1,282.1,656.86,8.68,947.64,3.8,0.17,1.98,67.39,17.51,7.68,0.33,1.13,10.46,46.81,P1035,114.45,2012-04-30,2012-09-27,2012-11-18,150,203,53,28.7,21.7,15.0,194.3,215.4
Loc_1,cv_8,2,288.04,684.01,13.51,985.56,3.79,0.18,1.91,67.57,17.52,7.49,0.46,1.06,10.33,47.66,P1034,114.07,2012-04-30,2012-09-27,2012-11-18,150,203,53,28.7,21.7,15.0,194.3,215.4
Loc_1,cv_9,1,284.73,624.02,2.48,911.23,3.99,0.22,2.43,67.22,16.77,7.85,0.56,0.95,10.58,45.790000000000006,P1061,113.32,2012-04-30,2012-09-22,2012-11-17,145,202,57,28.7,21.7,15.0,185.3,228.8
Loc_1,cv_9,2,322.95,661.28,1.57,985.8,4.21,0.2,2.53,68.04,15.95,7.37,0.65,1.05,11.190000000000001,46.44,P1062,111.33,2012-04-30,2012-09-22,2012-11-17,145,202,57,28.7,21.7,15.0,185.3,228.4
Loc_1,cv_10,1,345.5,770.14,3.33,1118.97,4.07,0.22,2.01,65.17,19.32,7.42,0.52,1.27,9.59,47.53000000000001,P1047,115.21,2012-04-30,2012-09-21,2012-11-18,144,203,59,28.7,21.7,15.0,194.3,237.5
Loc_1,cv_10,2,330.27,824.75,10.42,1165.44,3.96,0.17,1.93,65.5,19.19,7.5,0.52,1.23,10.14,46.23,P1046,115.4,2012-04-30,2012-09-21,2012-11-18,144,203,59,28.7,21.7,15.0,194.3,237.5
Loc_1,cv_11,1,298.58,676.74,6.61,981.93,3.97,0.16,1.99,66.8,18.56,7.04,0.5,1.0,10.92,47.31,P1052,113.97,2012-04-30,2012-09-27,2012-11-16,150,201,51,28.7,21.7,15.0,185.3,203.80000000000004
Loc_1,cv_11,2,396.05,659.09,11.43,1066.57,4.04,0.03,1.6,72.6,12.39,7.83,0.39,1.1,12.79,45.94,P1053,110.09,2012-04-30,2012-09-27,2012-11-16,150,201,51,28.7,21.7,15.0,185.3,203.80000000000004
Loc_1,cv_12,1,250.64,717.31,12.24,980.19,3.89,0.16,2.0,67.09,17.99,7.43,0.43,1.0,10.65,48.919999999999995,P1043,114.25,2012-04-30,2012-09-25,2012-11-16,148,201,53,28.7,21.7,15.0,214.9,210.0
Loc_1,cv_12,2,389.09,691.16,10.09,1090.34,3.94,0.12,1.56,75.08,11.54,6.93,0.1,0.83,12.77,46.87,P1044,108.19,2012-04-30,2012-09-25,2012-11-16,148,201,53,28.7,21.7,15.0,214.9,210.0
Loc_1,cv_13,1,264.14,693.33,4.88,962.35,3.93,0.16,1.98,67.16,18.17,7.25,0.45,0.91,10.11,46.63,P1040,114.08,2012-04-30,2012-09-24,2012-11-16,147,201,52,28.7,21.7,15.0,185.3,215.4
Loc_1,cv_13,2,223.16,723.35,4.11,950.62,3.95,0.17,2.04,67.17,17.81,7.54,0.52,0.81,12.06,47.92,P1041,114.16,2012-04-30,2012-09-24,2012-11-16,147,201,52,28.7,21.7,15.0,185.3,215.4
Loc_2,cv_1,1,173.63,664.42,3.12,841.17,4.1,0.19,1.74,62.62,20.35,9.36,0.46,1.18,8.48,45.78,P1097,119.97,2012-05-11,2012-09-07,2012-10-29,120,172,51,24.0,19.2,12.9,181.6,189.5
Loc_2,cv_1,2,222.76,650.31,4.88,877.95,4.06,0.19,1.78,63.43,20.12,8.88,0.43,1.13,9.02,46.41,P1098,118.91,2012-05-11,2012-09-07,2012-10-29,120,172,51,24.0,19.2,12.9,181.6,189.5
Loc_2,cv_2,1,235.14,719.09,15.48,969.71,3.9,0.18,1.63,63.52,19.08,9.92,0.5,1.29,8.5,45.26,P1103,120.09,2012-05-11,2012-09-04,2012-11-30,117,204,88,25.9,21.0,14.1,277.8,374.30000000000007
Loc_2,cv_2,2,208.53,734.48,7.43,950.44,3.95,0.17,1.8,63.55,19.14,9.92,0.0,1.47,9.96,47.88000000000001,P1104,120.37,2012-05-11,2012-09-04,2012-11-30,117,204,88,25.9,21.0,14.1,277.8,374.30000000000007
Loc_2,cv_3,1,246.97,734.66,0.0,981.63,3.93,0.17,1.79,64.54,20.07,8.83,0.47,0.19,9.2,46.04,P1101,118.92,2012-05-11,2012-09-07,2012-10-30,120,173,54,24.0,19.2,12.9,181.6,193.39999999999998
Loc_2,cv_3,2,177.53,669.34,0.0,846.87,4.18,0.19,1.77,62.26,20.37,9.37,0.47,1.39,8.35,44.58,P1100,119.89,2012-05-11,2012-09-07,2012-10-30,120,173,54,24.0,19.2,12.9,181.6,193.39999999999998
Loc_2,cv_4,1,243.18,661.81,14.23,919.22,4.03,0.19,1.72,63.92,19.83,8.72,0.45,1.14,9.16,45.99000000000001,P1068,118.42,2012-05-11,2012-09-10,2012-11-08,123,182,60,25.9,19.4,13.5,181.4,239.4
Loc_2,cv_4,2,233.19,655.62,14.1,902.91,4.05,0.17,1.65,64.95,19.1,8.96,1.1,1.03,9.42,47.87,P1067,118.57,2012-05-11,2012-09-10,2012-11-08,123,182,60,25.9,19.4,13.5,181.4,239.4
Loc_2,cv_5,1,307.36,618.66,1.37,927.39,3.77,0.16,1.83,65.26,17.91,9.55,0.48,1.05,10.4,47.81,P1080,118.32,2012-05-11,2012-08-28,2012-10-26,110,169,60,23.5,17.8,12.1,200.0,202.59999999999997
Loc_2,cv_5,2,307.36,618.66,1.37,927.39,3.77,0.16,1.83,65.26,17.91,9.55,0.48,1.05,9.48,47.98022004957504,P1081,118.32,2012-05-11,2012-08-28,2012-10-26,110,169,60,23.5,17.8,12.1,200.0,202.59999999999997
Loc_2,cv_6,1,194.12,743.25,10.12,947.49,4.31,0.16,1.6,61.93,20.55,10.0,0.21,1.25,10.2,44.67,P1082,121.5,2012-05-11,2012-09-09,2012-11-03,122,177,56,24.5,18.8,13.1,181.4,211.0
Loc_2,cv_6,2,247.21,737.03,12.04,996.28,4.27,0.18,1.83,62.26,20.71,9.18,0.42,1.13,8.93,46.92999999999999,P1083,119.76,2012-05-11,2012-09-09,2012-11-03,122,177,56,24.5,18.8,13.1,181.4,211.0
Loc_2,cv_7,1,162.6,630.31,4.95,797.86,4.15,0.24,2.61,64.27,18.09,8.92,0.7,1.02,11.32,42.18,P1074,116.07,2012-05-11,2012-08-08,2012-10-15,90,158,69,22.9,17.0,11.1,255.6,205.10000000000002
Loc_2,cv_7,2,142.6,613.28,4.56,760.44,4.22,0.24,2.54,64.88,17.93,8.81,0.39,0.98,10.0,45.63,P1075,116.0,2012-05-11,2012-08-08,2012-10-15,90,158,69,22.9,17.0,11.1,255.6,205.10000000000002
Loc_2,cv_8,1,216.81,626.89,4.97,848.67,3.78,0.17,1.69,65.02,17.75,9.82,0.51,1.26,8.08,45.94,P1077,118.72,2012-05-11,2012-08-16,2012-10-20,98,163,65,22.9,17.2,11.6,238.5,204.39999999999998
Loc_2,cv_8,2,236.84,620.92,5.94,863.7,3.87,0.17,0.31,67.7,17.59,9.84,0.46,0.06,9.2,47.64,P1078,119.92,2012-05-11,2012-08-16,2012-10-20,98,163,65,22.9,17.2,11.6,238.5,204.39999999999998
Loc_2,cv_9,1,158.72,522.51,12.23,693.46,3.89,0.22,2.54,65.48,16.29,9.83,0.66,1.1,8.03,45.02,P1088,115.93,2012-05-11,2012-08-12,2012-10-17,94,160,66,22.7,16.9,11.3,255.4,202.2
Loc_2,cv_9,2,158.72,522.51,12.23,693.46,3.89,0.22,2.54,65.48,16.29,9.83,0.66,1.1,8.03,45.25373468885031,P1089,115.93,2012-05-11,2012-08-12,2012-10-17,94,160,66,22.7,16.9,11.3,255.4,202.2
Loc_2,cv_10,1,246.59,739.95,17.29,1003.83,3.86,0.19,1.74,63.39,19.85,9.26,0.4,1.31,10.61,47.6,P1092,119.59,2012-05-11,2012-09-04,2012-11-03,117,177,61,24.2,18.6,13.0,207.7,221.6
Loc_2,cv_10,2,193.42,675.53,10.78,879.73,4.16,0.17,1.68,62.65,19.5,9.5,0.52,1.37,8.46,45.73,P1091,118.98,2012-05-11,2012-09-04,2012-11-03,117,177,61,24.2,18.6,13.0,207.7,221.6
Loc_2,cv_11,1,331.4,643.77,13.33,988.5,3.92,0.17,1.56,72.45,11.32,9.18,0.38,1.01,10.76,50.52,P1095,111.78,2012-05-11,2012-08-28,2012-10-26,110,169,60,23.5,17.8,12.1,200.0,202.59999999999997
